year	Aggregates, masonry and soil_Landfilled	Aggregates, masonry and soil_Local recovery	Aggregates, masonry and soil_Export	Glass_Landfilled	Glass_Local recovery	Glass_Export	Plastics_Landfilled	Plastics_Local recovery	Plastics_Export	Paper and cardboard_Landfilled	Paper and cardboard_Local recovery	Paper and cardboard_Export	Organics_Landfilled	Organics_Local recovery	Organics_Export	Metals_Landfilled	Metals_Local recovery	Metals_Export	Rubber_Landfilled	Rubber_Local recovery	Rubber_Export	Textiles_Landfilled	Textiles_Local recovery	Textiles_Export	Other materials_Landfilled	Other materials_Local recovery	Other materials_Export
2020-21	1,186,220	6,582,220	0	138,079	334,640	0	642,697	92,689	54,013	653,203	617,546	337,838	1,658,566	1,495,066	15,915	175,068	962,754	523,758	14,753	43,001	33,841	223,311	33,184	0	0	0	0
2019-20	1,182,215	6,538,689	0	140,009	296,804	3,913	649,933	94,416	52,545	659,211	699,152	409,693	1,716,817	1,207,510	13,322	176,059	952,139	530,419	14,757	32,558	29,644	224,978	32,000	13	0	0	0
2018-19	1,132,343	6,315,368	0	130,592	180,268	14,384	608,734	74,734	73,929	619,368	765,409	478,700	1,652,912	877,216	13,683	166,314	985,817	486,980	14,055	30,040	40,421	211,941	500	20	0	0	0
2017-18	1,065,274	5,507,209	0	126,667	218,376	11,622	587,636	51,839	86,763	595,743	848,728	616,435	1,641,976	887,551	13,920	158,979	966,433	489,367	13,309	42,170	36,337	203,236	0	26	0	0	0
2016-17	1,035,720	4,079,926	0	123,052	142,554	2,818	558,965	72,294	96,662	555,501	784,945	648,238	1,579,009	877,483	13,435	147,343	1,274,912	321,451	11,531	39,430	20,798	188,218	682	52	0	0	0
